unlabeled_for_review
predictions,,,,,
predictions,,,,,
name,address,category,P_closed,google_url,actually_closed
Tokyo Express,814 Mission St,sushi_restaurant,0.49,https://www.google.com/search?q=Tokyo%20Express%20814%20Mission%20St%20San%20Francisco,1
Malii Thai Kitchen,2028 2nd Ave,thai_restaurant,0.489,https://www.google.com/search?q=Malii%20Thai%20Kitchen%202028%202nd%20Ave%20New%20York,0
Pro Thai,1575 Lexington Ave,thai_restaurant,0.489,https://www.google.com/search?q=Pro%20Thai%201575%20Lexington%20Ave%20New%20York,1
Scala's Bistro,432 Powell St,bar,0.476,https://www.google.com/search?q=Scala%27s%20Bistro%20432%20Powell%20St%20San%20Francisco,1
NewTree,311 California St #120,breakfast_and_brunch_restaurant,0.471,https://www.google.com/search?q=NewTree%20311%20California%20St%20%23120%20San%20Francisco,1
Lawrence Scott Restaurant,1363 1st Ave,american_restaurant,0.467,https://www.google.com/search?q=Lawrence%20Scott%20Restaurant%201363%201st%20Ave%20New%20York,1
Associated Supermarket,529 S Broadway,grocery_store,0.463,https://www.google.com/search?q=Associated%20Supermarket%20529%20S%20Broadway%20Yonkers,0
King of Gluten Free Pizza,1338 Polk St,pizza_restaurant,0.455,https://www.google.com/search?q=King%20of%20Gluten%20Free%20Pizza%201338%20Polk%20St%20San%20Francisco,0
Redbox,1344 Stockton St,rental_kiosks,0.453,https://www.google.com/search?q=Redbox%201344%20Stockton%20St%20San%20Francisco,1
Fresh Catch Poké,7000 Coliseum Way,food_truck,0.452,https://www.google.com/search?q=Fresh%20Catch%20Pok%C3%A9%207000%20Coliseum%20Way%20Oakland,1
Infinity,3 Embarcadero Ctr,bar,0.43,https://www.google.com/search?q=Infinity%203%20Embarcadero%20Ctr%20San%20Francisco,0
Dunkin',1266 Saint Nicholas Ave,donuts,0.416,https://www.google.com/search?q=Dunkin%27%201266%20Saint%20Nicholas%20Ave%20New%20York,1
Ramen Sho Ryu,2123 Polk St,restaurant,0.391,https://www.google.com/search?q=Ramen%20Sho%20Ryu%202123%20Polk%20St%20San%20Francisco,1
Av-Setup,33 W 47th St #203,electronics,0.387,https://www.google.com/search?q=Av-Setup%2033%20W%2047th%20St%20%23203%20New%20York,0
Cafe Gray,10 Columbus Ave,cafe,0.374,https://www.google.com/search?q=Cafe%20Gray%2010%20Columbus%20Ave%20New%20York,1
Completely Bare Spa,25 Bond St,spas,0.369,https://www.google.com/search?q=Completely%20Bare%20Spa%2025%20Bond%20St%20New%20York,1
Nannybag Luggage Storage,1301 Mission St,retail,0.367,https://www.google.com/search?q=Nannybag%20Luggage%20Storage%201301%20Mission%20St%20San%20Francisco,0
Chipotle Mexican Grill,126 New Montgomery St,fast_food_restaurant,0.363,https://www.google.com/search?q=Chipotle%20Mexican%20Grill%20126%20New%20Montgomery%20St%20San%20Francisco,1
Curry & Kebab,931 Amsterdam Ave,indian_restaurant,0.362,https://www.google.com/search?q=Curry%20%26%20Kebab%20931%20Amsterdam%20Ave%20New%20York,1
Saint Maria Pharmacy,1328 Saint Nicholas Ave,drugstore,0.361,https://www.google.com/search?q=Saint%20Maria%20Pharmacy%201328%20Saint%20Nicholas%20Ave%20New%20York,0
DAVIDsTEA,2123 Polk St,coffee_shop,0.344,https://www.google.com/search?q=DAVIDsTEA%202123%20Polk%20St%20San%20Francisco,1
Memes,3 Great Jones St,clothing_store,0.338,https://www.google.com/search?q=Memes%203%20Great%20Jones%20St%20New%20York,1
Ulrikas,115 E 60th St,restaurant,0.332,https://www.google.com/search?q=Ulrikas%20115%20E%2060th%20St%20New%20York,1
Frederick's Madison,768 Madison Ave,restaurant,0.332,https://www.google.com/search?q=Frederick%27s%20Madison%20768%20Madison%20Ave%20New%20York,1
Fafa Cafe,W. 37th Street,coffee_shop,0.33,https://www.google.com/search?q=Fafa%20Cafe%20W.%2037th%20Street%20New%20York,1
Marx Myles,875 Avenue of the Americas Rm 1010,printing_equipment_and_supply,0.33,https://www.google.com/search?q=Marx%20Myles%20875%20Avenue%20of%20the%20Americas%20Rm%201010%20New%20York,0
The NoMad Hotel Gym,1170 Broadway,gym,0.328,https://www.google.com/search?q=The%20NoMad%20Hotel%20Gym%201170%20Broadway%20New%20York,1
Ps 32 Belmont,690 E 183rd St,education,0.321,https://www.google.com/search?q=Ps%2032%20Belmont%20690%20E%20183rd%20St%20Bronx,0
Redmint - TCM Wellness & Holistic Beauty,2044 Fillmore St 2nd Floor,wellness_program,0.311,https://www.google.com/search?q=Redmint%20-%20TCM%20Wellness%20%26%20Holistic%20Beauty%202044%20Fillmore%20St%202nd%20Floor%20San%20Francisco,0
Jaguar / Land Rover,787 11th Ave,car_dealer,0.303,https://www.google.com/search?q=Jaguar%20/%20Land%20Rover%20787%2011th%20Ave%20New%20York,0
Bamboo Village Fine Chinese Cuisine & Bar,997 Mcbride Ave,bar,0.262,https://www.google.com/search?q=Bamboo%20Village%20Fine%20Chinese%20Cuisine%20%26%20Bar%20997%20Mcbride%20Ave%20Woodland%20Park,0
Town Hall Restaurant,342 Howard St,restaurant,0.253,https://www.google.com/search?q=Town%20Hall%20Restaurant%20342%20Howard%20St%20San%20Francisco,0
Starbucks,"7 3rd St (Third & Market - San Francis, Co)",coffee_shop,0.25,https://www.google.com/search?q=Starbucks%207%203rd%20St%20%28Third%20%26%20Market%20-%20San%20Francis%2C%20Co%29%20San%20Francisco,1
Isobune Sushi Restaurant,1737 Post St,sushi_restaurant,0.242,https://www.google.com/search?q=Isobune%20Sushi%20Restaurant%201737%20Post%20St%20San%20Francisco,1
Jersey,145 Second St,pizza_restaurant,0.237,https://www.google.com/search?q=Jersey%20145%20Second%20St%20San%20Francisco,1
William Freeman,891 Beach St,real_estate_agent,0.063,https://www.google.com/search?q=William%20Freeman%20891%20Beach%20St%20San%20Francisco,0
"All Risks, Ltd.",1 Sansome St Ste 2910,corporate_office,0.019,https://www.google.com/search?q=All%20Risks%2C%20Ltd.%201%20Sansome%20St%20Ste%202910%20San%20Francisco,0
asap developers,535 Mission St 14th Fl,software_development,0.018,https://www.google.com/search?q=asap%20developers%20535%20Mission%20St%2014th%20Fl%20San%20Francisco,0
Deverno Inc,750 La Playa St,information_technology_company,0.015,https://www.google.com/search?q=Deverno%20Inc%20750%20La%20Playa%20St%20San%20Francisco,0
Arevik Makasdjian Realtor,580 4th St,real_estate_agent,0.013,https://www.google.com/search?q=Arevik%20Makasdjian%20Realtor%20580%204th%20St%20San%20Francisco,0
Moabi,1601 Grant Ave,information_technology_company,0.012,https://www.google.com/search?q=Moabi%201601%20Grant%20Ave%20San%20Francisco,1
Mattei IT,426 Fillmore St,information_technology_company,0.012,https://www.google.com/search?q=Mattei%20IT%20426%20Fillmore%20St%20San%20Francisco,1
Sigmoid,100 Pine St Ste 1250,software_development,0.011,https://www.google.com/search?q=Sigmoid%20100%20Pine%20St%20Ste%201250%20San%20Francisco,0
"Trango Tech San Francisco, CA - Mobile App Development Company",37 Mission St Floor 415,software_development,0.011,https://www.google.com/search?q=Trango%20Tech%20San%20Francisco%2C%20CA%20-%20Mobile%20App%20Development%20Company%2037%20Mission%20St%20Floor%20415%20San%20Francisco,0
Perfomatix Inc,1390 Market St Ste 200,software_development,0.011,https://www.google.com/search?q=Perfomatix%20Inc%201390%20Market%20St%20Ste%20200%20San%20Francisco,0
Legal Services For Children,870 Market St,legal_services,0.007,https://www.google.com/search?q=Legal%20Services%20For%20Children%20870%20Market%20St%20San%20Francisco,0
Asset Dedication,220 Montgomery St,financial_service,0.006,https://www.google.com/search?q=Asset%20Dedication%20220%20Montgomery%20St%20San%20Francisco,0
Zurich Simon,1745 Ofarrell St,insurance_agency,0.004,https://www.google.com/search?q=Zurich%20Simon%201745%20Ofarrell%20St%20San%20Francisco,0
Ruth Lee,2737 Judah St,insurance_agency,0.004,https://www.google.com/search?q=Ruth%20Lee%202737%20Judah%20St%20San%20Francisco,0
The Secret Insurance Agency,409 Minnisink Rd,insurance_agency,0.004,https://www.google.com/search?q=The%20Secret%20Insurance%20Agency%20409%20Minnisink%20Rd%20Totowa,0
Velez Insurance Servces,391 Sutter St,insurance_agency,0.004,https://www.google.com/search?q=Velez%20Insurance%20Servces%20391%20Sutter%20St%20San%20Francisco,0
Pathpoint Inc.,200 Pine St,insurance_agency,0.004,https://www.google.com/search?q=Pathpoint%20Inc.%20200%20Pine%20St%20San%20Francisco,0
Resilience,55 2nd St,insurance_agency,0.004,https://www.google.com/search?q=Resilience%2055%202nd%20St%20San%20Francisco,0
"Allstate Insurance, Sales Offices",330 Townsend St,insurance_agency,0.004,https://www.google.com/search?q=Allstate%20Insurance%2C%20Sales%20Offices%20330%20Townsend%20St%20San%20Francisco,0
Joey Chan Realtor,2200 Union St,real_estate_agent,0.003,https://www.google.com/search?q=Joey%20Chan%20Realtor%202200%20Union%20St%20San%20Francisco,0
Trident Real Estate,3 Stark Pl,real_estate_agent,0.003,https://www.google.com/search?q=Trident%20Real%20Estate%203%20Stark%20Pl%20San%20Francisco,0
Oliver Burgelman,2501 Mission St,real_estate_agent,0.003,https://www.google.com/search?q=Oliver%20Burgelman%202501%20Mission%20St%20San%20Francisco,0
RRR Health Tech LLC,584 Castro St,legal_services,0.003,https://www.google.com/search?q=RRR%20Health%20Tech%20LLC%20584%20Castro%20St%20San%20Francisco,0
415Residence,1699 Van Ness Ave,real_estate_agent,0.003,https://www.google.com/search?q=415Residence%201699%20Van%20Ness%20Ave%20San%20Francisco,0
Judy Marrocco,3899 24th St,real_estate_agent,0.003,https://www.google.com/search?q=Judy%20Marrocco%203899%2024th%20St%20San%20Francisco,0
"David Parry, Sotheby's International Realty",2001 Lombard St,real_estate_agent,0.003,https://www.google.com/search?q=David%20Parry%2C%20Sotheby%27s%20International%20Realty%202001%20Lombard%20St%20San%20Francisco,0
Gabrielle Bunker,891 Beach St,real_estate_agent,0.003,https://www.google.com/search?q=Gabrielle%20Bunker%20891%20Beach%20St%20San%20Francisco,0
Luke Schemmel,2501 Mission St,real_estate_agent,0.003,https://www.google.com/search?q=Luke%20Schemmel%202501%20Mission%20St%20San%20Francisco,0
Realtor Mike Schmidt - Climb Real Estate Group,251 Rhode Island St,real_estate_agent,0.003,https://www.google.com/search?q=Realtor%20Mike%20Schmidt%20-%20Climb%20Real%20Estate%20Group%20251%20Rhode%20Island%20St%20San%20Francisco,0
Jane R Poppelreiter,1400 Van Ness Ave,real_estate_agent,0.003,https://www.google.com/search?q=Jane%20R%20Poppelreiter%201400%20Van%20Ness%20Ave%20San%20Francisco,0
Lisa Wolfe,891 Beach St,real_estate_agent,0.003,https://www.google.com/search?q=Lisa%20Wolfe%20891%20Beach%20St%20San%20Francisco,0
Monica Pauli,891 Beach St,real_estate_agent,0.003,https://www.google.com/search?q=Monica%20Pauli%20891%20Beach%20St%20San%20Francisco,0
Law Office of Gerald Clausen,2021 Fillmore St,legal_services,0.003,https://www.google.com/search?q=Law%20Office%20of%20Gerald%20Clausen%202021%20Fillmore%20St%20San%20Francisco,0
Enspace Co,2181 Greenwich St,architectural_designer,0.002,https://www.google.com/search?q=Enspace%20Co%202181%20Greenwich%20St%20San%20Francisco,0
Juzt,2 Embarcadero Ctr,financial_service,0.002,https://www.google.com/search?q=Juzt%202%20Embarcadero%20Ctr%20San%20Francisco,0
Jennifer Weiss Architecture,3352 Sacramento St,architectural_designer,0.002,https://www.google.com/search?q=Jennifer%20Weiss%20Architecture%203352%20Sacramento%20St%20San%20Francisco,0
J.Pappas Insurance Agency,208 Newark Pompton Tpke,insurance_agency,0.002,https://www.google.com/search?q=J.Pappas%20Insurance%20Agency%20208%20Newark%20Pompton%20Tpke%20Little%20Falls,0
Gavazza Wealth Management,1 Market St,financial_service,0.002,https://www.google.com/search?q=Gavazza%20Wealth%20Management%201%20Market%20St%20San%20Francisco,1
Mithril Capital Management,1 Letterman Dr,financial_service,0.002,https://www.google.com/search?q=Mithril%20Capital%20Management%201%20Letterman%20Dr%20San%20Francisco,1
Wheelhouse,548 Market St,information_technology_company,0.002,https://www.google.com/search?q=Wheelhouse%20548%20Market%20St%20San%20Francisco,0
Leadspace,445 Bush St,information_technology_company,0.002,https://www.google.com/search?q=Leadspace%20445%20Bush%20St%20San%20Francisco,0
Bain Capital Ventures,301 Howard St,financial_service,0.002,https://www.google.com/search?q=Bain%20Capital%20Ventures%20301%20Howard%20St%20San%20Francisco,0
Anthony Koutsos Real Estate,2207 Lombard St,real_estate_agent,0.002,https://www.google.com/search?q=Anthony%20Koutsos%20Real%20Estate%202207%20Lombard%20St%20San%20Francisco,0
Simple Software,1232 Market St,software_development,0.002,https://www.google.com/search?q=Simple%20Software%201232%20Market%20St%20San%20Francisco,0
"Intelligent Investor Financial Planning, LLC",2443 Fillmore St,financial_service,0.002,https://www.google.com/search?q=Intelligent%20Investor%20Financial%20Planning%2C%20LLC%202443%20Fillmore%20St%20San%20Francisco,0
Renée Gonsalves,"Dirk Kinley - Compass Real Estate, 3512 16th St",real_estate_agent,0.002,https://www.google.com/search?q=Ren%C3%A9e%20Gonsalves%20Dirk%20Kinley%20-%20Compass%20Real%20Estate%2C%203512%2016th%20St%20San%20Francisco,0
Indemand,479 Jessie St,information_technology_company,0.002,https://www.google.com/search?q=Indemand%20479%20Jessie%20St%20San%20Francisco,1
TSA Holding Group LLC,2345 Balboa St,financial_service,0.002,https://www.google.com/search?q=TSA%20Holding%20Group%20LLC%202345%20Balboa%20St%20San%20Francisco,0
PandaDoc,3739 Balboa St,software_development,0.001,https://www.google.com/search?q=PandaDoc%203739%20Balboa%20St%20San%20Francisco,0
Kikoff,San Francisco,financial_service,0.001,https://www.google.com/search?q=Kikoff%20San%20Francisco%20San%20Francisco,0
