predictions
predictions,,,,,
name,address,category,P_closed,google_url,actually_closed
Nick The Greek,298 Castro St,greek_restaurant,0.022,https://www.google.com/search?q=Nick+The+Greek+298+Castro+St+Mountain+View,0
Ristorante Don Giovanni,235 Castro St,italian_restaurant,0.022,https://www.google.com/search?q=Ristorante+Don+Giovanni+235+Castro+St+Mountain+View,0
Optical Center | Kaiser Permanente Mountain View Medical Offices,555 Castro St 1st Floor,eye_care_clinic,0.021,https://www.google.com/search?q=Optical+Center+%7C+Kaiser+Permanente+Mountain+View+Medical+Offices+555+Castro+St+1st+Floor+Mountain+View,0
Mountain View Funeral and Cremation Service - The Casket Store,805 Castro St,cremation_services,0.021,https://www.google.com/search?q=Mountain+View+Funeral+and+Cremation+Service+-+The+Casket+Store+805+Castro+St+Mountain+View,0
Frank Conrad's Music Instruction,278 Hope St,musical_instrument_store,0.021,https://www.google.com/search?q=Frank+Conrad%27s+Music+Instruction+278+Hope+St+Mountain+View,0
Sushi Arashi,240 Castro St,sushi_restaurant,0.021,https://www.google.com/search?q=Sushi+Arashi+240+Castro+St+Mountain+View,0
Rootstock Wine Bar,331 Castro St Ste 100,wine_bar,0.021,https://www.google.com/search?q=Rootstock+Wine+Bar+331+Castro+St+Ste+100+Mountain+View,0
Peninsula Law Group APLC,800 W El Camino Real Ste 180,legal_services,0.019,https://www.google.com/search?q=Peninsula+Law+Group+APLC+800+W+El+Camino+Real+Ste+180+Mountain+View,0
Four Connections Om/ Carol Chen Clinic,341 Castro St Ste D,acupuncture,0.019,https://www.google.com/search?q=Four+Connections+Om%2F+Carol+Chen+Clinic+341+Castro+St+Ste+D+Mountain+View,0
Rootstock Wine Bar,331 Castro St,wine_bar,0.019,https://www.google.com/search?q=Rootstock+Wine+Bar+331+Castro+St+Mountain+View,0
OPAL Venue & Event Space,251 Castro St,event_technology_service,0.018,https://www.google.com/search?q=OPAL+Venue+%26+Event+Space+251+Castro+St+Mountain+View,0
Sana'a Cafe,650 Castro Street Suite 110,cafe,0.018,https://www.google.com/search?q=Sana%27a+Cafe+650+Castro+Street+Suite+110+Mountain+View,0
Beer Garage AB InBev,800 W El Camino Real,pub,0.018,https://www.google.com/search?q=Beer+Garage+AB+InBev+800+W+El+Camino+Real+Mountain+View,0
Gluten Free Pizza Garden (Mountain View),790 Castro St,restaurant,0.018,https://www.google.com/search?q=Gluten+Free+Pizza+Garden+%28Mountain+View%29+790+Castro+St+Mountain+View,1
Johnny & Sanny's,110 Castro St,italian_restaurant,0.017,https://www.google.com/search?q=Johnny+%26+Sanny%27s+110+Castro+St+Mountain+View,1
United States Postal Service,211 Hope St,shipping_center,0.017,https://www.google.com/search?q=United+States+Postal+Service+211+Hope+St+Mountain+View,0
Airport Taxi Cab Services SFO SJC OAK,211 Hope St Unit 491,airport_shuttles,0.017,https://www.google.com/search?q=Airport+Taxi+Cab+Services+SFO+SJC+OAK+211+Hope+St+Unit+491+MOUNTAIN+VIEW,1
Picturelab,800 W El Camino Real Ste 180,graphic_designer,0.017,https://www.google.com/search?q=Picturelab+800+W+El+Camino+Real+Ste+180+Mountain+View,0
CYCLEBAR,444 Castro Street,cycling_classes,0.017,https://www.google.com/search?q=CYCLEBAR+444+Castro+Street+Mountain+View,1
bytewise organic,205 View St,b2b_food_products,0.016,https://www.google.com/search?q=bytewise+organic+205+View+St+Mountain+View,0
Superhot Hot Pot & Korean BBQ,210 Hope St,korean_restaurant,0.015,https://www.google.com/search?q=Superhot+Hot+Pot+%26+Korean+BBQ+210+Hope+St+Mountain+View,0
Peet's Coffee,420 Castro St,coffee_shop,0.015,https://www.google.com/search?q=Peet%27s+Coffee+420+Castro+St+Mountain+View,0
Opal By Arena,251 Castro St,lounge,0.015,https://www.google.com/search?q=Opal+By+Arena+251+Castro+St+Mountain+View,0
Pho To Chau 999,853 Villa St,vietnamese_restaurant,0.015,https://www.google.com/search?q=Pho+To+Chau+999+853+Villa+St+Mountain+View,0
Starbucks,750 Castro St,coffee_shop,0.015,https://www.google.com/search?q=Starbucks+750+Castro+St+Mountain+View,0
Phở Tô Châu,853 Villa St,vietnamese_restaurant,0.014,https://www.google.com/search?q=Ph%E1%BB%9F+T%C3%B4+Ch%C3%A2u+853+Villa+St+Mountain+View,0
Agave Mexican Bistro,194 Castro St,mexican_restaurant,0.014,https://www.google.com/search?q=Agave+Mexican+Bistro+194+Castro+St+Mountain+View,0
Taqueria La Espuela,854 W Dana St,mexican_restaurant,0.014,https://www.google.com/search?q=Taqueria+La+Espuela+854+W+Dana+St+Mountain+View,0
Casa Lupe,459 Castro St,mexican_restaurant,0.014,https://www.google.com/search?q=Casa+Lupe+459+Castro+St+Mountain+View,0
Oren's Hummus Shop Mountain View,126 Castro St,israeli_restaurant,0.013,https://www.google.com/search?q=Oren%27s+Hummus+Shop+Mountain+View+126+Castro+St+Mountain+View,0
Barnes & Noble,317 Castro Street,bookstore,0.013,https://www.google.com/search?q=Barnes+%26+Noble+317+Castro+Street+Mountain+View,1
Car Hire Mountain View/Deliveries | SIXT rent a car,800 West El Camino Real,car_rental_agency,0.013,https://www.google.com/search?q=Car+Hire+Mountain+View%2FDeliveries+%7C+SIXT+rent+a+car+800+West+El+Camino+Real+Mountain+View,0
Mountain View Art Frame Studio,257 Castro St,arts_and_crafts,0.012,https://www.google.com/search?q=Mountain+View+Art+Frame+Studio+257+Castro+St+Mountain+View,0
Bank of America,444 Castro St,banks,0.012,https://www.google.com/search?q=Bank+of+America+444+Castro+St+Mountain+View,0
Infer,444 Castro St,corporate_office,0.012,https://www.google.com/search?q=Infer+444+Castro+St+Mountain+View,1
Fashion Cuts and Barber Shop,844 W Dana St,hair_salon,0.012,https://www.google.com/search?q=Fashion+Cuts+and+Barber+Shop+844+W+Dana+St+Mountain+View,0
Bean Scene Cafe,500 Castro St,cafe,0.011,https://www.google.com/search?q=Bean+Scene+Cafe+500+Castro+St+Mountain+View,0
Next Level Board Game Cafe,888 Villa St,cafe,0.011,https://www.google.com/search?q=Next+Level+Board+Game+Cafe+888+Villa+St+Mountain+View,0
PatPat,650 Castro St,clothing_store,0.011,https://www.google.com/search?q=PatPat+650+Castro+St+Mountain+View,0
Dana Street Roasting Company,744 W Dana St,cafe,0.011,https://www.google.com/search?q=Dana+Street+Roasting+Company+744+W+Dana+St+Mountain+View,0
Halal Street Xinjiang Cuisine - Mountain View,174 Castro St,chinese_restaurant,0.011,https://www.google.com/search?q=Halal+Street+Xinjiang+Cuisine+-+Mountain+View+174+Castro+St+Mountain+View,0
Bank of America ATM,444 Castro St,atms,0.011,https://www.google.com/search?q=Bank+of+America+ATM+444+Castro+St+Mountain+View,0
Kirin Chinese Seafood Restaurant,485 Castro St,chinese_restaurant,0.011,https://www.google.com/search?q=Kirin+Chinese+Seafood+Restaurant+485+Castro+St+Mountain+View,0
Kirin Restaurant,485 Castro St,chinese_restaurant,0.011,https://www.google.com/search?q=Kirin+Restaurant+485+Castro+St+Mountain+View,0
Ego Blinds,856 W El Camino Real #B,furniture_store,0.011,https://www.google.com/search?q=Ego+Blinds+856+W+El+Camino+Real+%23B+Mountain+View,0
Angel Garage Door Repair Mountain View,1174 Castro St #201,builders,0.01,https://www.google.com/search?q=Angel+Garage+Door+Repair+Mountain+View+1174+Castro+St+%23201+Mountain+View,0
Blue Otter Corporation,148 Castro St B20,software_development,0.01,https://www.google.com/search?q=Blue+Otter+Corporation+148+Castro+St+B20+Mountain+View,1
Bonchon,260 Castro St,korean_restaurant,0.01,https://www.google.com/search?q=Bonchon+260+Castro+St+Mountain+View,0
Birri,211 Hope St,business_to_business,0.01,https://www.google.com/search?q=Birri+211+Hope+St+Mountain+View,1
Le Boulanger,650 Castro St,bakery,0.01,https://www.google.com/search?q=Le+Boulanger+650+Castro+St+Mountain+View,0
Alcorn Immigration Law,800 W El Camino Real Ste 180,immigration_law,0.01,https://www.google.com/search?q=Alcorn+Immigration+Law+800+W+El+Camino+Real+Ste+180+Mountain+View,0
Beaver Group Agency,650 Castro St Ste 120-437,life_insurance,0.01,https://www.google.com/search?q=Beaver+Group+Agency+650+Castro+St+Ste+120-437+Mountain+View,0
Beaver Insurance Services,650 Castro St Ste 20-437,life_insurance,0.01,https://www.google.com/search?q=Beaver+Insurance+Services+650+Castro+St+Ste+20-437+Mountain+View,0
Opal Social Club,251 Castro St,dance_club,0.01,https://www.google.com/search?q=Opal+Social+Club+251+Castro+St+Mountain+View,0
Alberto's Night Club,736 W Dana St,dance_club,0.009,https://www.google.com/search?q=Alberto%27s+Night+Club+736+W+Dana+St+Mountain+View,0
Resume Target Palo Alto,800 W El Camino Real #180,career_counseling,0.009,https://www.google.com/search?q=Resume+Target+Palo+Alto+800+W+El+Camino+Real+%23180+Mountain+View,1
Fire Works Ceramics,483 Hope St,arts_and_crafts,0.009,https://www.google.com/search?q=Fire+Works+Ceramics+483+Hope+St+Mountain+View,1
Miko Robot USA,800 W El Camino Real,information_technology_company,0.008,https://www.google.com/search?q=Miko+Robot+USA+800+W+El+Camino+Real+Mountain+View,1
Arimo,888 Villa St,information_technology_company,0.008,https://www.google.com/search?q=Arimo+888+Villa+St+Mountain+View,1
Eagle Park Pool,600 Franklin St,swimming_pool,0.008,https://www.google.com/search?q=Eagle+Park+Pool+600+Franklin+St+Mountain+View,0
"Fire Works, a paint your own ceramics place",483 Hope St,art_school,0.008,https://www.google.com/search?q=Fire+Works%2C+a+paint+your+own+ceramics+place+483+Hope+St+Mountain+View,1
Madeby,279 Castro St,arts_and_crafts,0.008,https://www.google.com/search?q=Madeby+279+Castro+St+Mountain+View,0
Eureka,191 Castro St,american_restaurant,0.008,https://www.google.com/search?q=Eureka+191+Castro+St+Mountain+View,0
Nebula,215 Castro St,information_technology_company,0.008,https://www.google.com/search?q=Nebula+215+Castro+St+Mountain+View,1
Mountain View Public Library,585 Franklin St,library,0.008,https://www.google.com/search?q=Mountain+View+Public+Library+585+Franklin+St+Mountain+View,0
Queen House Chinese Restaurant,273 Castro St,taiwanese_restaurant,0.008,https://www.google.com/search?q=Queen+House+Chinese+Restaurant+273+Castro+St+Mountain+View,0
