label_audit
name,address,city,category,fsq_label,google_url,Correctness
Al Pastor,145 E 39th St,NYC,taco_restaurant,closed,https://www.google.com/search?q=Al+Pastor+145+E+39th+St,1
Royal Kennedy Chicken & Smoothies,2857 White Plains Rd,NYC,burger_restaurant,closed,https://www.google.com/search?q=Royal+Kennedy+Chicken+%26+Smoothies+2857+White+Plains+Rd,1
Family Dollar,1274 Westchester Ave,NYC,discount_store,closed,https://www.google.com/search?q=Family+Dollar+1274+Westchester+Ave,1
Fraiche Yogurt,1910 Fillmore St,SF,frozen_yoghurt_shop,closed,https://www.google.com/search?q=Fraiche+Yogurt+1910+Fillmore+St,1
Lawcompany,60 Cuttermill Rd,NYC,legal_services,closed,https://www.google.com/search?q=Lawcompany+60+Cuttermill+Rd,1
Sator Realty,663 5th Ave,NYC,real_estate_agent,closed,https://www.google.com/search?q=Sator+Realty+663+5th+Ave,1
Studio Kraut,160 8th Ave,NYC,german_restaurant,closed,https://www.google.com/search?q=Studio+Kraut+160+8th+Ave,1
Betony,41 W 57th St,NYC,american_restaurant,closed,https://www.google.com/search?q=Betony+41+W+57th+St,1
Daytop Village,316 Beach 65th St,NYC,physical_therapy,closed,https://www.google.com/search?q=Daytop+Village+316+Beach+65th+St,1
The Meatball Shop,200 9th Ave,NYC,italian_restaurant,closed,https://www.google.com/search?q=The+Meatball+Shop+200+9th+Ave,1
Midici The Neapolitan Pizza Co,174 N 4th St,NYC,pizza_restaurant,closed,https://www.google.com/search?q=Midici+The+Neapolitan+Pizza+Co+174+N+4th+St,1
harbor Q,84 Old Shore Rd,NYC,barbecue_restaurant,closed,https://www.google.com/search?q=harbor+Q+84+Old+Shore+Rd,1
Cafe Murano,1777 Steiner St,SF,cafe,closed,https://www.google.com/search?q=Cafe+Murano+1777+Steiner+St,1
NICO + MARI Ring Designs,200 Riverside Blvd Apt 10I,NYC,jewelry_store,open,https://www.google.com/search?q=NICO+%2B+MARI+Ring+Designs+200+Riverside+Blvd+Apt+10I,1
Pacific Vision Institute,505 Beach St Ste 110,SF,medical_center,open,https://www.google.com/search?q=Pacific+Vision+Institute+505+Beach+St+Ste+110,1
Arlee Home Fashions,261 5th Ave Fl 6,NYC,furniture_store,open,https://www.google.com/search?q=Arlee+Home+Fashions+261+5th+Ave+Fl+6,1
Dr. Jeffrey Delson,7 Gay St,NYC,doctor,open,https://www.google.com/search?q=Dr.+Jeffrey+Delson+7+Gay+St,1
Judge Moses Weinstein Playground,141st St,NYC,playground,open,https://www.google.com/search?q=Judge+Moses+Weinstein+Playground+141st+St,1
Pruzansky Plumbing,364 Oak St,NYC,building_supply_store,open,https://www.google.com/search?q=Pruzansky+Plumbing+364+Oak+St,1
Kaiser Permanente Physical Therapy,1635 Divisadero St Ste 300,SF,physical_therapy,open,https://www.google.com/search?q=Kaiser+Permanente+Physical+Therapy+1635+Divisadero+St+Ste+300,1
Matthew Adam Properties,249 E 118th St,NYC,real_estate_agent,open,https://www.google.com/search?q=Matthew+Adam+Properties+249+E+118th+St,0
Top Trimmings,149A W 36th Street,NYC,automotive_services_and_repair,open,https://www.google.com/search?q=Top+Trimmings+149A+W+36th+Street,0
Archer,2187 Union St,SF,nail_salon,open,https://www.google.com/search?q=Archer+2187+Union+St,0
Baluchi's,90 W 3rd St,NYC,indian_restaurant,open,https://www.google.com/search?q=Baluchi%27s+90+W+3rd+St,0
Golden Gate Cycle,1540 Pine St,SF,bicycle_shop,open,https://www.google.com/search?q=Golden+Gate+Cycle+1540+Pine+St,0
Pan's Great Wall Chinese Restaurant,6913 Woodside Ave,NYC,chinese_restaurant,open,https://www.google.com/search?q=Pan%27s+Great+Wall+Chinese+Restaurant+6913+Woodside+Ave,1
Mama Calizo's Voice Factory,1519 Mission,SF,art_gallery,open,https://www.google.com/search?q=Mama+Calizo%27s+Voice+Factory+1519+Mission,0
Leon D De Matteis Constr,820 Elmont Rd,NYC,contractor,open,https://www.google.com/search?q=Leon+D+De+Matteis+Constr+820+Elmont+Rd,1
Green Wise Dispensary,152 W 52nd St,NYC,cannabis_dispensary,open,https://www.google.com/search?q=Green+Wise+Dispensary+152+W+52nd+St,1
Suzanne Couture Model Making,227 W 29th St Frnt 1,NYC,clothing_store,open,https://www.google.com/search?q=Suzanne+Couture+Model+Making+227+W+29th+St+Frnt+1,0
Bi Cancer Center,315 W 15th St,NYC,health_and_medical,open,https://www.google.com/search?q=Bi+Cancer+Center+315+W+15th+St,0
Villa Soma,1554 Howard St,SF,condominium,open,https://www.google.com/search?q=Villa+Soma+1554+Howard+St,0
Anchor Medical Supply,750 3rd Ave Fl 9 Fl 9,NYC,hospital,open,https://www.google.com/search?q=Anchor+Medical+Supply+750+3rd+Ave+Fl+9+Fl+9,1
Ps 28 Thomas Emanuel Early Childhood Center,10910 47th Ave,NYC,education,open,https://www.google.com/search?q=Ps+28+Thomas+Emanuel+Early+Childhood+Center+10910+47th+Ave,1
Spencer's Auto Sales,15044 124th St,NYC,used_car_dealer,open,https://www.google.com/search?q=Spencer%27s+Auto+Sales+15044+124th+St,0
Organic Tower Cleaner,251 W 93rd St Frnt 1,NYC,professional_services,open,https://www.google.com/search?q=Organic+Tower+Cleaner+251+W+93rd+St+Frnt+1,1
"DH Acupuncture: Donghwan Lee, DAOM, LAc, Dipl OM",133 E 58th St #710,NYC,acupuncture,open,https://www.google.com/search?q=DH+Acupuncture%3A+Donghwan+Lee%2C+DAOM%2C+LAc%2C+Dipl+OM+133+E+58th+St+%23710,1
Mister Softee Truck,238th Street,NYC,food_truck,open,https://www.google.com/search?q=Mister+Softee+Truck+238th+Street,0
"Dr. Philip Starr, MD",1825 4th St Fl 5a # 5,SF,doctor,open,https://www.google.com/search?q=Dr.+Philip+Starr%2C+MD+1825+4th+St+Fl+5a+%23+5,1
The Windsor Florist,1118 Lexington Ave,NYC,flowers_and_gifts_shop,open,https://www.google.com/search?q=The+Windsor+Florist+1118+Lexington+Ave,0
Citibike station,Riverside Dr bt 77th & 78th,NYC,bike_rentals,open,https://www.google.com/search?q=Citibike+station+Riverside+Dr+bt+77th+%26+78th,1
Nespresso Boutique,1 Garden State Plz,NYC,coffee_shop,open,https://www.google.com/search?q=Nespresso+Boutique+1+Garden+State+Plz,1
"Dr Nicolas Prionas, MD, PhD",1600 Divisadero St Fl 4,SF,doctor,open,https://www.google.com/search?q=Dr+Nicolas+Prionas%2C+MD%2C+PhD+1600+Divisadero+St+Fl+4,1
Perfect Brows,1230 Saint Nicholas Ave,NYC,beauty_salon,open,https://www.google.com/search?q=Perfect+Brows+1230+Saint+Nicholas+Ave,1
Sedgbury,1353 2nd Ave,NYC,dry_cleaning,open,https://www.google.com/search?q=Sedgbury+1353+2nd+Ave,1
The Jazz Room at The Kitano,66 Park Ave,NYC,jazz_and_blues,open,https://www.google.com/search?q=The+Jazz+Room+at+The+Kitano+66+Park+Ave,0
Incarnation School,8915 Francis Lewis Blvd,NYC,education,open,https://www.google.com/search?q=Incarnation+School+8915+Francis+Lewis+Blvd,0
Queens Pizza & Deli Grocery,9046 161st St,NYC,pizza_restaurant,open,https://www.google.com/search?q=Queens+Pizza+%26+Deli+Grocery+9046+161st+St,1
Delta Sky360° Club,41 Seaver Way,NYC,bar,open,https://www.google.com/search?q=Delta+Sky360%C2%B0+Club+41+Seaver+Way,0
Cristina Verger Event Planning & Production,375 Park Ave Ste 2607,NYC,event_technology_service,open,https://www.google.com/search?q=Cristina+Verger+Event+Planning+%26+Production+375+Park+Ave+Ste+2607,1
Ideal Home Renovations,229 E 79th St # 5F,NYC,bathroom_remodeling,open,https://www.google.com/search?q=Ideal+Home+Renovations+229+E+79th+St+%23+5F,0
"Eric Chang, DDS",136-33 37th Avenue #5C,NYC,dentist,open,https://www.google.com/search?q=Eric+Chang%2C+DDS+136-33+37th+Avenue+%235C,1
Allergy & Asthma Care of New York: Midtown Office,425 Madison Ave Fl 11,NYC,doctor,open,https://www.google.com/search?q=Allergy+%26+Asthma+Care+of+New+York%3A+Midtown+Office+425+Madison+Ave+Fl+11,1
Kenner Printing Co.,418 W 25th St # 25AT,NYC,information_technology_company,open,https://www.google.com/search?q=Kenner+Printing+Co.+418+W+25th+St+%23+25AT,0
"GSAPP, Columbia University",1172 Amsterdam Ave,NYC,campus_building,open,https://www.google.com/search?q=GSAPP%2C+Columbia+University+1172+Amsterdam+Ave,1
Montana Studios,823 11th Ave,NYC,music_venue,open,https://www.google.com/search?q=Montana+Studios+823+11th+Ave,0
Sleep Over Sauce,131 Gough St,SF,bed_and_breakfast,open,https://www.google.com/search?q=Sleep+Over+Sauce+131+Gough+St,0
Consulate General of Arab Republic of Egypt | القنصلية العامة لجمهورية مصر العربية,1110 2nd Ave,NYC,embassy,open,https://www.google.com/search?q=Consulate+General+of+Arab+Republic+of+Egypt+%7C+%D8%A7%D9%84%D9%82%D9%86%D8%B5%D9%84%D9%8A%D8%A9+%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D8%A9+%D9%84%D8%AC%D9%85%D9%87%D9%88%D8%B1%D9%8A%D8%A9+%D9%85%D8%B5%D8%B1+%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9+1110+2nd+Ave,0
El Dorado Elementary,70 Delta St,SF,elementary_school,open,https://www.google.com/search?q=El+Dorado+Elementary+70+Delta+St,1
Atlas Chiropractic,2305 Van Ness Ave Ste B,SF,chiropractor,open,https://www.google.com/search?q=Atlas+Chiropractic+2305+Van+Ness+Ave+Ste+B,1
M S Auto Repair,6215 34th Ave,NYC,automotive_repair,open,https://www.google.com/search?q=M+S+Auto+Repair+6215+34th+Ave,1
Congregation Sha'ar Zahav,290 Dolores St,SF,synagogue,open,https://www.google.com/search?q=Congregation+Sha%27ar+Zahav+290+Dolores+St,1
Cliffside Nursing Home,119-19 Graham Ct,NYC,medical_center,open,https://www.google.com/search?q=Cliffside+Nursing+Home+119-19+Graham+Ct,1
